-4819,-3500,-8004,-157,-428,253
-3863,-3848,-8692,-486,-948,594
-3327,-4152,-9060,-163,-1143,1205
-3215,-3988,-8632,4,-801,1292
-3995,-4052,-8224,-214,-433,827
-3815,-4132,-8324,-633,-578,456
-3635,-4132,-8676,-703,-314,452
-3523,-4020,-8508,-581,-125,420
-3863,-4040,-8140,-832,43,108
-4191,-3904,-7820,-1128,73,-252
-4143,-4096,-7728,-1394,-69,-367
-3675,-4296,-8204,-1311,-247,-269
-3519,-4188,-8108,-1126,-228,-200
-3739,-4192,-7984,-994,-222,-354
-4051,-4248,-7976,-967,-377,-561
-4123,-4312,-8420,-769,-378,-637
-4135,-4268,-8668,-434,-594,-613
-4031,-4296,-8640,-129,-527,-510
-4067,-4296,-8508,21,-481,-631
-3555,-4308,-8360,-27,-298,-644
-3775,-4064,-8256,-129,157,-883
-4091,-4200,-8320,-349,86,-1094
-3871,-4304,-8332,-150,59,-1076
-3939,-4128,-8112,202,126,-1098
-4043,-4160,-8012,476,142,-1089
-4035,-4144,-7972,678,292,-1089
-3911,-3940,-7984,651,252,-988
-3803,-4128,-7860,592,340,-843
-3699,-4092,-7896,700,478,-728
-3591,-4200,-7748,735,486,-639
-3503,-4376,-7840,933,524,-574
-3339,-4236,-7952,1051,703,-647
-3411,-3996,-7968,975,843,-607
-3395,-4040,-7688,826,919,-561
-3363,-3868,-7808,661,1191,-527
-3799,-4032,-7412,423,1203,-531
-3879,-4428,-7516,533,1213,-585
-3827,-4420,-7744,1036,1115,-525
-3775,-4276,-7868,1643,1059,-336
-3815,-4324,-7964,2208,945,-187
-3395,-5088,-7844,2642,908,48
-3591,-5332,-8244,3501,1415,120
-3687,-5164,-8200,4216,1553,81
-3883,-4768,-8212,4632,1659,-194
-3855,-4864,-8188,4456,1721,-426
-3839,-4820,-8016,4017,1598,-698
-3607,-4880,-8156,3648,1492,-848
-3639,-4596,-7768,3595,1537,-1130
-3643,-4528,-7452,3428,1809,-1528
-3719,-4164,-7424,3030,1629,-1873
-3595,-3916,-7308,2518,1437,-1969
-3603,-3700,-7264,1852,1181,-2043
-3511,-3912,-7236,1482,866,-1915
-3063,-4084,-7432,1510,544,-1692
-3299,-3768,-7352,1763,656,-1518
-3619,-3696,-7292,2026,441,-1308
-3783,-3660,-7348,2180,315,-1080
-3795,-3592,-7424,2155,106,-696
-3807,-3496,-7140,2063,-279,-283
-3799,-3688,-7076,2157,-396,26
-3947,-3672,-6604,2148,-567,223
-4039,-3320,-6444,2010,-881,475
-4103,-2752,-6040,1624,-1240,883
-4291,-2776,-5456,927,-1847,1254
-3879,-2776,-5420,363,-2440,1845
-3679,-2604,-5456,65,-2853,2450
-3639,-2800,-5120,-40,-3323,2984
-3527,-2692,-5064,438,-3632,3584
-3947,-2484,-4956,884,-3861,4162
-4339,-2196,-4784,893,-4196,4771
-4739,-1988,-4632,754,-4653,5359
-4683,-2104,-4980,543,-5334,5977
-4807,-1624,-4380,307,-5614,6458
-4839,-1436,-4468,-155,-6180,6801
-4419,-1784,-4596,-319,-6568,7303
-4179,-1924,-4560,-138,-6642,7762
-4007,-1740,-4376,44,-6477,8046
-3951,-1576,-4468,302,-6320,8180
-3503,-1576,-4552,551,-6148,8364
-3263,-1416,-4732,609,-5843,8435
-2931,-1428,-5084,620,-5551,8465
-2315,-1368,-5392,822,-5108,8322
-1927,-1604,-5596,1091,-4337,7964
-1851,-1772,-5956,1313,-3441,7298
-1487,-2020,-6160,1529,-2446,6619
-1291,-2404,-6692,1892,-1351,5624
-1239,-2860,-6932,2538,289,4466
-2495,-2528,-6652,3120,2106,2685
-3023,-2292,-5736,2403,2962,674
-2603,-2364,-5484,1066,3316,-998
-1987,-2764,-6500,787,3534,-1979
-1811,-2716,-6880,1341,3686,-2675
-1855,-2152,-6500,2191,4017,-3440
-2775,-1268,-5296,2859,4620,-4384
-3723,-472,-4664,3450,5435,-5788
-4791,112,-4396,3529,5960,-6669
-5899,1276,-4244,3345,6302,-7142
-6775,1520,-4420,3122,5739,-7149
-6175,1212,-4508,3188,5394,-6644
-5687,1220,-4456,3279,5149,-6197
-5419,1500,-4280,3149,5211,-6150
-5351,1268,-4484,2665,5233,-6791
-5099,852,-4844,2331,5165,-7707
-4499,452,-5244,2470,5102,-8182
-3879,56,-5496,2998,4974,-8393
-3327,-272,-5756,3608,5138,-8312
-3147,-108,-5736,4245,5123,-8054
-3267,-56,-5680,4357,5105,-7917
-3231,-100,-5684,4117,4808,-7902
-3111,-312,-5508,3823,4628,-7756
-3423,-176,-5580,3452,4249,-7665
-4023,-416,-5572,3087,3862,-7452
-4447,-184,-5520,2851,3293,-7263
-4291,-64,-5372,2527,2572,-6734
-4167,-156,-4960,2472,2154,-5812
