-3607,-4712,208,6554,-1013,-1693
-4335,-4960,676,7664,-984,-2271
-5411,-5180,-84,9600,-1102,-3164
-5399,-5184,-268,12813,-1045,-4171
-5107,-4488,-112,15192,-1169,-5705
-4271,-4352,-784,17004,-281,-6940
-3303,-3956,-2036,18919,1841,-7366
-2411,-2932,-2896,20641,4215,-7306
-2531,-2256,-3600,20447,5612,-7339
-1775,-452,-1936,18076,5903,-6643
-1499,-932,-2468,14454,5642,-6906
897,-584,-2316,12439,6961,-7605
1813,-348,-1956,11396,8720,-8387
1281,184,-2012,10977,10995,-9188
1741,-36,-1372,10868,12565,-9590
1853,-488,-1024,11276,14108,-9644
1701,-376,-1504,12144,15612,-9192
897,-92,-3336,13280,16617,-8613
421,520,-4192,14323,16546,-8200
-375,1296,-4024,14445,16105,-7944
-835,1900,-3792,12526,16303,-8378
-1695,2384,-4256,9993,15391,-8474
-2159,1980,-4856,7811,14267,-8845
-2539,1004,-5280,6966,13744,-9141
-3203,892,-4576,5089,13006,-9630
-3907,992,-4524,2812,12090,-9899
-4423,700,-4888,963,11055,-9707
-5203,568,-4984,-80,10195,-9423
-5531,216,-5460,-624,8643,-8905
-5163,-592,-5760,-795,7176,-8087
-5095,-1272,-5804,-528,6289,-6668
-4851,-1780,-6008,-103,4970,-5156
-4395,-1908,-5856,486,3882,-3590
-4175,-2244,-5872,1099,3388,-2381
-4083,-3164,-6556,1511,2312,-1464
-3119,-2044,-6792,2320,2037,423
-4807,-4164,-6740,5279,811,1615
-3267,-2568,-6616,5067,1879,143
-4571,-2216,-6784,3976,1137,1035
-4863,-2908,-7084,2296,61,1266
-4819,-3140,-7216,1256,-351,1197
-4819,-4208,-7676,296,-1233,1190
-4319,-4612,-8060,458,-1673,1332
-4403,-4764,-8308,1194,-1542,1311
-4315,-4848,-8524,1713,-1627,1110
-3967,-4884,-8416,2267,-1720,987
-3671,-4808,-8580,2694,-1484,934
-3687,-4100,-8328,2897,-1341,777
-3463,-3648,-8396,2520,-1222,655
-3431,-3572,-8160,1634,-914,510
-3171,-4136,-8076,629,-1194,412
-3167,-4048,-8240,308,-703,484
-4095,-3736,-8308,540,-424,255
-4627,-3600,-8500,730,-346,-34
-4835,-3636,-8468,891,-456,-255
-4731,-3724,-8040,943,-352,-343
-5259,-3516,-7508,842,50,-286
-5247,-3604,-7304,323,-95,-176
-4747,-3464,-7212,-26,-506,127
-5071,-3536,-7332,-185,-206,157
-5419,-3316,-6968,-444,-255,-3
-5203,-3224,-7060,-568,-718,-110
-4691,-3600,-7012,-362,-944,-136
-4843,-3652,-7104,252,-940,-116
-5147,-3172,-6956,914,-1074,-178
-4875,-2944,-6760,1193,-1574,60
-4379,-2920,-6520,1296,-1450,256
-4359,-3412,-6728,1434,-1798,580
